method,modality,dataset,seed,samples,dice_mean,iou_mean,nsd_mean,hd95_finite_mean,assd_finite_mean,one_empty_failure_rate,source
MedEquiSeg,image+text,medclipseg_busbra,123,282,0.903845,0.832676,0.526024,13.188294,4.212524,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busbra/seed123/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_busbra,456,282,0.902292,0.830626,0.522042,13.872128,4.243142,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busbra/seed456/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_busbra,789,282,0.900976,0.831272,0.527731,14.367921,4.477652,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busbra/seed789/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_brisc,123,892,0.873156,0.804628,0.671442,12.809238,4.573085,0.002242,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_brisc/seed123/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_brisc,456,892,0.871975,0.802814,0.669416,12.415915,4.026718,0.005605,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_brisc/seed456/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_brisc,789,892,0.870316,0.802049,0.672670,12.670034,4.095099,0.003363,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_brisc/seed789/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_covid19,123,2113,0.840106,0.754490,0.710632,15.838589,3.909444,0.000473,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_covid19/seed123/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_covid19,456,2113,0.842375,0.756638,0.713402,14.769522,3.546391,0.000473,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_covid19/seed456/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_covid19,789,2113,0.840015,0.754139,0.708302,14.484316,3.713670,0.000947,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_covid19/seed789/controls/true/summary.csv
RollingUNet,image-only,medclipseg_busi,123,78,0.714593,0.638562,0.287485,67.926368,19.507087,0.089744,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busi/seed123/controls/true/summary.csv
RollingUNet,image-only,medclipseg_busi,456,78,0.737154,0.666838,0.324456,65.578122,19.950680,0.051282,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busi/seed456/controls/true/summary.csv
RollingUNet,image-only,medclipseg_busi,789,78,0.718997,0.646495,0.282423,63.648216,22.084523,0.076923,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busi/seed789/controls/true/summary.csv
