method,modality,dataset,seed,test_n,nonempty_n,empty_n,overall_dice,nonempty_dice,nonempty_iou,empty_specificity,empty_false_positive_rate,nonempty_empty_prediction_rate,source
MedEquiSeg,image+text,medclipseg_busi,789,78,65,13,0.8616492435897436,0.8339790923076923,0.7570795692307692,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busi/seed789/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_clinicdb,123,61,61,0,0.9262649016393443,0.9262649016393443,0.8691890491803279,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_clinicdb/seed123/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_clinicdb,456,61,61,0,0.9232404918032787,0.9232404918032787,0.8645355081967213,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_clinicdb/seed456/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_clinicdb,789,61,61,0,0.9126500491803279,0.9126500491803279,0.857172,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_clinicdb/seed789/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_busbra,123,282,282,0,0.9038451666666667,0.9038451666666667,0.8326757907801419,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busbra/seed123/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_busbra,456,282,282,0,0.9022924432624113,0.9022924432624113,0.8306257021276596,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busbra/seed456/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_busbra,789,282,282,0,0.9009761205673759,0.9009761205673759,0.8312723723404255,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busbra/seed789/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_brisc,123,892,753,139,0.8731559652466367,0.8497411965471448,0.7685632443559097,1.0,0.0,0.0026560424966799467,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_brisc/seed123/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_brisc,456,892,753,139,0.8719751816143497,0.8483424462151394,0.766414930942895,1.0,0.0,0.006640106241699867,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_brisc/seed456/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_brisc,789,892,753,139,0.8703163475336323,0.8463773997343957,0.7655079428950863,1.0,0.0,0.00398406374501992,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_brisc/seed789/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_covid19,123,2113,2113,0,0.8401055873166114,0.8401055873166114,0.7544902673923332,,,0.000473260766682442,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_covid19/seed123/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_covid19,456,2113,2113,0,0.8423747638428775,0.8423747638428775,0.7566381618551822,,,0.000473260766682442,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_covid19/seed456/controls/true/per_case.csv
